,ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,prix_global,min_global,max_global,loyer_global,loyer_min_global,loyer_max_global,ratio_m2_apt,ratio_m2_msn,ratio_m2_glb,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo,INDICE_TENSION_LOG,CROI_POP_16_22
18,Bouvron,2001,1407,2696,2020,896,3511,12.4,9.2,20.5,12.0,7.7,16.4,2010.5,1151.5,3103.5,12.2,8.45,18.45,7.44,7.13,7.28,46.08,44023,44130,Loire-Atlantique,"Bouvron, Loire-Atlantique, France",0.365,-2.36
19,Brains,3038,2077,3714,2691,1319,3684,13.4,9.3,18.2,11.0,6.6,14.3,2864.5,1698.0,3699.0,12.2,7.95,16.25,5.29,4.91,5.11,42.8,44024,44830,Loire-Atlantique,"Brains, Loire-Atlantique, France",0.41,-1.08
20,Campbon,2533,1516,3526,2232,995,3503,12.5,9.0,19.1,11.5,7.2,15.3,2382.5,1255.5,3514.5,12.0,8.1,17.2,5.92,6.18,6.04,32.74,44025,44750,Loire-Atlantique,"Campbon, Loire-Atlantique, France",0.402,0.32
21,Carquefou,3562,2381,4876,3401,2051,5316,13.7,10.6,20.9,12.2,10.2,16.4,3481.5,2216.0,5096.0,12.95,10.4,18.65,4.62,4.3,4.46,38.85,44026,44470,Loire-Atlantique,"Carquefou, Loire-Atlantique, France",0.474,5.94
22,Casson,3401,2169,4767,2692,1363,3862,12.7,8.9,17.3,13.9,9.9,17.5,3046.5,1766.0,4314.5,13.3,9.4,17.4,4.48,6.2,5.24,45.09,44027,44390,Loire-Atlantique,"Casson, Loire-Atlantique, France",0.453,17.28
23,Le Cellier,2840,1410,4433,2541,1016,4088,13.3,8.9,18.5,13.4,9.4,17.6,2690.5,1213.0,4260.5,13.35,9.15,18.05,5.62,6.33,5.95,35.55,44028,44850,Loire-Atlantique,"Le Cellier, Loire-Atlantique, France",0.399,8.46
24,Divatte-sur-Loire,2715,1819,4353,2426,981,3944,12.9,10.3,21.9,14.0,9.5,18.8,2570.5,1400.0,4148.5,13.45,9.9,20.35,5.7,6.92,6.28,43.57,44029,44450,Loire-Atlantique,"Divatte-sur-Loire, Loire-Atlantique, France",0.463,6.63
25,La Chapelle-des-Marais,2567,1620,4112,2417,1016,3912,11.6,8.9,20.5,11.2,7.6,13.2,2492.0,1318.0,4012.0,11.4,8.25,16.85,5.42,5.56,5.49,41.57,44030,44410,Loire-Atlantique,"La Chapelle-des-Marais, Loire-Atlantique, France",0.401,7.67
26,La Chapelle-Glain,1696,964,2467,1296,519,2449,10.2,6.4,16.1,9.8,6.5,13.2,1496.0,741.5,2458.0,10.0,6.45,14.65,7.22,9.07,8.02,30.91,44031,44670,Loire-Atlantique,"La Chapelle-Glain, Loire-Atlantique, France",0.264,-0.61
27,La Chapelle-Heulin,2793,2038,3722,2710,1084,3851,12.7,9.3,17.1,13.3,8.5,17.0,2751.5,1561.0,3786.5,13.0,8.9,17.05,5.46,5.89,5.67,36.91,44032,44330,Loire-Atlantique,"La Chapelle-Heulin, Loire-Atlantique, France",0.429,5.45
28,La Chapelle-Launay,2528,1414,3688,2318,927,3512,12.6,9.1,17.0,13.1,8.6,17.3,2423.0,1170.5,3600.0,12.85,8.85,17.15,5.98,6.78,6.36,33.0,44033,44260,Loire-Atlantique,"La Chapelle-Launay, Loire-Atlantique, France",0.424,8.82
29,La Chapelle-sur-Erdre,3634,2581,4802,3433,1988,5035,13.2,10.3,19.2,11.8,9.6,16.0,3533.5,2284.5,4918.5,12.5,9.95,17.6,4.36,4.12,4.25,46.74,44035,44240,Loire-Atlantique,"La Chapelle-sur-Erdre, Loire-Atlantique, France",0.515,5.87
30,Châteaubriant,1976,1045,3136,1825,849,2969,11.3,7.6,17.6,11.5,8.0,16.0,1900.5,947.0,3052.5,11.4,7.8,16.8,6.86,7.56,7.2,38.05,44036,44110,Loire-Atlantique,"Châteaubriant, Loire-Atlantique, France",0.377,3.18
31,Château-Thébaud,2886,2007,3844,2595,1038,3879,13.1,9.7,17.1,12.8,8.6,16.4,2740.5,1522.5,3861.5,12.95,9.15,16.75,5.45,5.92,5.67,40.59,44037,44690,Loire-Atlantique,"Château-Thébaud, Loire-Atlantique, France",0.42,4.36
32,Chauvé,2355,1085,3635,2729,1091,4145,11.5,9.5,19.8,13.1,9.1,16.3,2542.0,1088.0,3890.0,12.3,9.3,18.05,5.86,5.76,5.81,37.7,44038,44320,Loire-Atlantique,"Chauvé, Loire-Atlantique, France",0.424,7.85
33,Cheix-en-Retz,2984,2047,4140,2746,1098,3698,12.9,8.6,16.6,13.2,8.0,16.6,2865.0,1572.5,3919.0,13.05,8.3,16.6,5.19,5.77,5.47,46.66,44039,44640,Loire-Atlantique,"Cheix-en-Retz, Loire-Atlantique, France",0.41,11.94
34,La Chevrolière,3007,2114,3721,2550,1173,3390,13.9,9.2,18.1,12.9,9.2,15.3,2778.5,1643.5,3555.5,13.4,9.2,16.7,5.55,6.07,5.79,37.46,44041,44118,Loire-Atlantique,"La Chevrolière, Loire-Atlantique, France",0.489,15.52
35,Clisson,3598,2241,4621,3209,1555,5039,13.2,9.9,17.0,12.0,7.8,15.8,3403.5,1898.0,4830.0,12.6,8.85,16.4,4.4,4.49,4.44,39.13,44043,44190,Loire-Atlantique,"Clisson, Loire-Atlantique, France",0.457,6.03
36,Conquereuil,1748,1131,2711,1565,628,3078,9.8,6.2,15.6,9.9,6.0,14.0,1656.5,879.5,2894.5,9.85,6.1,14.8,6.73,7.59,7.14,36.38,44044,44290,Loire-Atlantique,"Conquereuil, Loire-Atlantique, France",0.294,-3.34
37,Cordemais,2322,1052,3743,2588,1420,4341,12.4,8.7,16.6,13.2,8.2,16.7,2455.0,1236.0,4042.0,12.8,8.45,16.65,6.41,6.12,6.26,35.29,44045,44360,Loire-Atlantique,"Cordemais, Loire-Atlantique, France",0.443,7.1
38,Corsept,2271,908,3602,2831,1380,3994,13.7,9.8,20.7,14.3,9.9,18.2,2551.0,1144.0,3798.0,14.0,9.85,19.45,7.24,6.06,6.59,44.87,44046,44560,Loire-Atlantique,"Corsept, Loire-Atlantique, France",0.397,-2.57
39,Couëron,3143,2116,4416,2914,1470,4333,12.7,9.7,18.0,13.1,9.6,17.1,3028.5,1793.0,4374.5,12.9,9.65,17.55,4.85,5.39,5.11,47.25,44047,44220,Loire-Atlantique,"Couëron, Loire-Atlantique, France",0.537,12.64
40,Couffé,2463,1380,4435,2141,908,3136,12.6,8.7,16.5,12.4,9.0,15.7,2302.0,1144.0,3785.5,12.5,8.85,16.1,6.14,6.95,6.52,42.02,44048,44521,Loire-Atlantique,"Couffé, Loire-Atlantique, France",0.396,-0.35
41,Le Croisic,4565,2432,7543,4789,2296,8277,13.3,8.6,21.3,14.7,11.8,19.1,4677.0,2364.0,7910.0,14.0,10.2,20.2,3.5,3.68,3.59,37.49,44049,44490,Loire-Atlantique,"Le Croisic, Loire-Atlantique, France",0.339,0.37
42,Crossac,2578,1586,3523,2387,955,3537,11.7,9.6,20.3,11.3,7.5,15.2,2482.5,1270.5,3530.0,11.5,8.55,17.75,5.45,5.68,5.56,43.96,44050,44160,Loire-Atlantique,"Crossac, Loire-Atlantique, France",0.399,2.02
43,Derval,1717,1055,2835,1825,730,2737,11.5,6.3,20.3,9.8,6.9,12.6,1771.0,892.5,2786.0,10.65,6.6,16.45,8.04,6.44,7.22,35.25,44051,44590,Loire-Atlantique,"Derval, Loire-Atlantique, France",0.378,2.58
44,Donges,2419,1253,3181,2208,984,3571,11.5,9.3,19.0,12.2,8.1,16.3,2313.5,1118.5,3376.0,11.85,8.7,17.65,5.7,6.63,6.15,32.9,44052,44480,Loire-Atlantique,"Donges, Loire-Atlantique, France",0.422,3.37
45,Drefféac,2552,1487,3563,2345,965,3443,11.7,9.6,20.2,10.2,7.2,12.3,2448.5,1226.0,3503.0,10.95,8.4,16.25,5.5,5.22,5.37,40.94,44053,44530,Loire-Atlantique,"Drefféac, Loire-Atlantique, France",0.393,4.57
46,Erbray,1759,931,2678,1649,660,2557,10.4,7.1,17.0,10.2,7.1,12.8,1704.0,795.5,2617.5,10.3,7.1,14.9,7.09,7.42,7.25,29.71,44054,44110,Loire-Atlantique,"Erbray, Loire-Atlantique, France",0.397,2.65
47,La Baule-Escoublac,7022,3516,12661,6737,2982,11831,14.8,9.6,23.1,15.6,12.4,20.4,6879.5,3249.0,12246.0,15.2,11.0,21.75,2.53,2.78,2.65,36.67,44055,44500,Loire-Atlantique,"La Baule-Escoublac, Loire-Atlantique, France",0.415,7.49
48,Fay-de-Bretagne,2057,1414,2657,2272,918,3693,11.7,8.9,18.1,11.3,7.3,16.4,2164.5,1166.0,3175.0,11.5,8.1,17.25,6.83,5.97,6.38,34.38,44056,44130,Loire-Atlantique,"Fay-de-Bretagne, Loire-Atlantique, France",0.422,6.97
49,Fégréac,2405,1426,4159,1646,658,3138,10.0,5.7,17.5,9.6,5.8,14.6,2025.5,1042.0,3648.5,9.8,5.75,16.05,4.99,7.0,5.81,44.88,44057,44460,Loire-Atlantique,"Fégréac, Loire-Atlantique, France",0.298,-7.76
50,Fercé,1901,1026,2732,1572,629,2632,10.4,6.4,17.1,10.1,7.7,13.6,1736.5,827.5,2682.0,10.25,7.05,15.35,6.56,7.71,7.08,31.45,44058,44660,Loire-Atlantique,"Fercé, Loire-Atlantique, France",0.251,3.93
51,Frossay,2327,947,4366,2555,1083,4115,11.6,9.6,20.1,13.1,9.1,17.7,2441.0,1015.0,4240.5,12.35,9.35,18.9,5.98,6.15,6.07,39.93,44061,44320,Loire-Atlantique,"Frossay, Loire-Atlantique, France",0.394,1.92
52,Le Gâvre,1960,1395,2551,1893,757,2996,11.4,8.0,18.7,11.3,7.9,14.8,1926.5,1076.0,2773.5,11.35,7.95,16.75,6.98,7.16,7.07,45.75,44062,44130,Loire-Atlantique,"Le Gâvre, Loire-Atlantique, France",0.361,5.56
53,Gétigné,2505,1735,3353,2460,1046,3782,12.6,8.6,20.9,12.2,8.4,15.9,2482.5,1390.5,3567.5,12.4,8.5,18.4,6.04,5.95,5.99,34.25,44063,44190,Loire-Atlantique,"Gétigné, Loire-Atlantique, France",0.418,4.78
54,Gorges,3595,2395,4443,2704,1082,3919,12.8,9.4,17.1,13.0,9.2,16.9,3149.5,1738.5,4181.0,12.9,9.3,17.0,4.27,5.77,4.92,38.03,44064,44190,Loire-Atlantique,"Gorges, Loire-Atlantique, France",0.466,12.04
55,Grand-Auverné,2366,1192,3595,1460,584,2333,11.2,8.1,18.3,10.2,6.4,14.4,1913.0,888.0,2964.0,10.7,7.25,16.35,5.68,8.38,6.71,31.37,44065,44520,Loire-Atlantique,"Grand-Auverné, Loire-Atlantique, France",0.237,-0.26
56,Guémené-Penfao,2427,1239,3395,1680,672,2855,9.8,6.0,15.2,9.9,6.0,14.1,2053.5,955.5,3125.0,9.85,6.0,14.65,4.85,7.07,5.76,45.39,44067,44290,Loire-Atlantique,"Guémené-Penfao, Loire-Atlantique, France",0.306,0.52
57,Guenrouet,2525,1485,3533,1932,773,3399,11.4,7.9,18.5,10.4,7.4,13.1,2228.5,1129.0,3466.0,10.9,7.65,15.8,5.42,6.46,5.87,42.51,44068,44530,Loire-Atlantique,"Guenrouet, Loire-Atlantique, France",0.377,7.26
58,Guérande,3986,2470,5646,4354,2206,7412,14.0,9.5,19.9,14.4,8.6,19.5,4170.0,2338.0,6529.0,14.2,9.05,19.7,4.21,3.97,4.09,40.07,44069,44350,Loire-Atlantique,"Guérande, Loire-Atlantique, France",0.446,3.08
59,La Haie-Fouassière,3264,2267,4503,2766,1340,4100,13.1,9.6,17.7,13.1,8.7,16.9,3015.0,1803.5,4301.5,13.1,9.15,17.3,4.82,5.68,5.21,41.4,44070,44690,Loire-Atlantique,"La Haie-Fouassière, Loire-Atlantique, France",0.437,1.85
60,Haute-Goulaine,3515,2524,4525,3165,1324,4972,13.4,10.7,16.8,14.8,11.6,18.7,3340.0,1924.0,4748.5,14.1,11.15,17.75,4.57,5.61,5.07,41.77,44071,44115,Loire-Atlantique,"Haute-Goulaine, Loire-Atlantique, France",0.451,4.12
61,Herbignac,2768,1454,5536,2872,1149,4725,12.7,8.4,18.3,12.8,7.6,15.5,2820.0,1301.5,5130.5,12.75,8.0,16.9,5.51,5.35,5.43,38.9,44072,44410,Loire-Atlantique,"Herbignac, Loire-Atlantique, France",0.436,6.83
62,Héric,3211,2039,4099,2685,1177,4523,13.2,10.1,20.7,12.4,7.6,17.5,2948.0,1608.0,4311.0,12.8,8.85,19.1,4.93,5.54,5.21,40.36,44073,44810,Loire-Atlantique,"Héric, Loire-Atlantique, France",0.461,10.08
63,Indre,3003,1634,4341,3122,1370,5022,13.4,10.8,19.3,15.5,10.6,21.5,3062.5,1502.0,4681.5,14.45,10.7,20.4,5.35,5.96,5.66,48.63,44074,44610,Loire-Atlantique,"Indre, Loire-Atlantique, France",0.433,6.56
64,Issé,1742,920,2745,1445,615,2673,9.7,5.6,15.2,10.6,7.8,13.9,1593.5,767.5,2709.0,10.15,6.7,14.55,6.68,8.8,7.64,29.92,44075,44520,Loire-Atlantique,"Issé, Loire-Atlantique, France",0.315,-1.51
65,Jans,1721,1014,2911,1697,679,2877,11.4,6.6,20.5,10.0,6.6,13.6,1709.0,846.5,2894.0,10.7,6.6,17.05,7.95,7.07,7.51,34.18,44076,44170,Loire-Atlantique,"Jans, Loire-Atlantique, France",0.328,2.91
66,Joué-sur-Erdre,2536,1329,3895,1927,771,3376,11.8,8.8,18.4,10.9,7.4,15.0,2231.5,1050.0,3635.5,11.35,8.1,16.7,5.58,6.79,6.1,34.27,44077,44440,Loire-Atlantique,"Joué-sur-Erdre, Loire-Atlantique, France",0.405,13.11
67,Juigné-des-Moutiers,1793,847,2914,1427,571,2613,9.7,6.6,15.4,9.8,7.0,12.4,1610.0,709.0,2763.5,9.75,6.8,13.9,6.49,8.24,7.27,29.15,44078,44670,Loire-Atlantique,"Juigné-des-Moutiers, Loire-Atlantique, France",0.215,-6.84
68,Le Landreau,2792,1883,3388,2470,1218,3693,12.8,8.4,17.2,12.8,8.8,16.6,2631.0,1550.5,3540.5,12.8,8.6,16.9,5.5,6.22,5.84,43.52,44079,44430,Loire-Atlantique,"Le Landreau, Loire-Atlantique, France",0.444,7.96
69,Lavau-sur-Loire,2227,891,3609,1976,931,3008,12.7,9.6,18.8,13.6,9.0,17.7,2101.5,911.0,3308.5,13.15,9.3,18.25,6.84,8.26,7.51,33.97,44080,44260,Loire-Atlantique,"Lavau-sur-Loire, Loire-Atlantique, France",0.32,0.39
70,Legé,2212,1428,2990,1939,776,3157,11.3,9.2,19.0,10.2,6.5,12.4,2075.5,1102.0,3073.5,10.75,7.85,15.7,6.13,6.31,6.22,34.28,44081,44650,Loire-Atlantique,"Legé, Loire-Atlantique, France",0.406,6.14
71,Ligné,2889,1473,4716,2446,979,3394,12.8,8.4,17.6,12.7,8.9,15.8,2667.5,1226.0,4055.0,12.75,8.65,16.7,5.32,6.23,5.74,46.44,44082,44850,Loire-Atlantique,"Ligné, Loire-Atlantique, France",0.452,8.75
72,La Limouzinière,2261,1689,3135,2155,862,3253,13.3,9.6,18.6,12.3,8.4,14.7,2208.0,1275.5,3194.0,12.8,9.0,16.65,7.06,6.85,6.96,35.83,44083,44310,Loire-Atlantique,"La Limouzinière, Loire-Atlantique, France",0.393,2.79
73,Le Loroux-Bottereau,2965,1798,3839,2804,1127,3854,12.7,8.6,20.9,13.8,10.1,17.4,2884.5,1462.5,3846.5,13.25,9.35,19.15,5.14,5.91,5.51,34.93,44084,44430,Loire-Atlantique,"Le Loroux-Bottereau, Loire-Atlantique, France",0.484,5.77
74,Louisfert,1764,908,2779,1585,634,2538,10.6,7.3,17.4,10.1,6.7,14.6,1674.5,771.0,2658.5,10.35,7.0,16.0,7.21,7.65,7.42,33.53,44085,44110,Loire-Atlantique,"Louisfert, Loire-Atlantique, France",0.299,-6.96
75,Lusanger,1728,933,2751,1619,648,2829,10.8,6.2,19.4,10.2,6.9,14.3,1673.5,790.5,2790.0,10.5,6.55,16.85,7.5,7.56,7.53,32.19,44086,44590,Loire-Atlantique,"Lusanger, Loire-Atlantique, France",0.31,2.8
76,Machecoul,2705,1425,3705,2393,1060,3789,12.8,8.0,22.0,12.7,8.8,15.5,2549.0,1242.5,3747.0,12.75,8.4,18.75,5.68,6.37,6.0,37.2,44087,44270,Loire-Atlantique,"Machecoul, Loire-Atlantique, France",0.42,3.68
77,Maisdon-sur-Sèvre,2437,1822,3083,2516,1006,3586,13.2,9.6,18.5,13.2,9.7,17.5,2476.5,1414.0,3334.5,13.2,9.65,18.0,6.5,6.3,6.4,41.57,44088,44690,Loire-Atlantique,"Maisdon-sur-Sèvre, Loire-Atlantique, France",0.439,5.61
78,Malville,2576,1414,3785,2413,1125,3781,12.8,8.8,17.3,12.0,7.6,15.1,2494.5,1269.5,3783.0,12.4,8.2,16.2,5.96,5.97,5.97,40.0,44089,44260,Loire-Atlantique,"Malville, Loire-Atlantique, France",0.439,7.58
79,La Marne,2679,1428,3658,2054,947,3223,11.2,9.0,18.8,11.4,7.3,14.6,2366.5,1187.5,3440.5,11.3,8.15,16.7,5.02,6.66,5.73,36.12,44090,44270,Loire-Atlantique,"La Marne, Loire-Atlantique, France",0.394,6.69
80,Marsac-sur-Don,1721,1014,2911,1561,624,2611,11.0,8.8,17.6,10.3,7.5,13.8,1641.0,819.0,2761.0,10.65,8.15,15.7,7.67,7.92,7.79,31.01,44091,44170,Loire-Atlantique,"Marsac-sur-Don, Loire-Atlantique, France",0.344,2.0
81,Massérac,1688,1180,2685,1458,583,2752,9.8,5.6,16.0,9.9,6.0,13.8,1573.0,881.5,2718.5,9.85,5.8,14.9,6.97,8.15,7.51,39.23,44092,44290,Loire-Atlantique,"Massérac, Loire-Atlantique, France",0.235,-3.04
82,Mauves-sur-Loire,3011,1543,5233,2834,1302,4378,13.1,8.7,18.0,13.4,9.6,18.3,2922.5,1422.5,4805.5,13.25,9.15,18.15,5.22,5.67,5.44,46.22,44094,44470,Loire-Atlantique,"Mauves-sur-Loire, Loire-Atlantique, France",0.42,5.77
83,La Meilleraye-de-Bretagne,1782,979,2831,1553,621,2577,10.0,5.6,17.7,10.2,7.5,13.1,1667.5,800.0,2704.0,10.1,6.55,15.4,6.73,7.88,7.27,36.32,44095,44520,Loire-Atlantique,"La Meilleraye-de-Bretagne, Loire-Atlantique, France",0.348,4.96
84,Mésanger,2428,1349,4669,2454,1093,3609,12.1,9.1,20.6,11.5,8.1,15.8,2441.0,1221.0,4139.0,11.8,8.6,18.2,5.98,5.62,5.8,39.75,44096,44522,Loire-Atlantique,"Mésanger, Loire-Atlantique, France",0.444,-0.11
85,Mesquer,4211,2018,7353,4567,1827,9100,12.7,8.3,18.1,12.7,7.7,15.9,4389.0,1922.5,8226.5,12.7,8.0,17.0,3.62,3.34,3.47,38.89,44097,44420,Loire-Atlantique,"Mesquer, Loire-Atlantique, France",0.305,11.25
86,Missillac,2659,1463,5318,2452,981,4450,11.7,9.6,20.1,11.1,7.8,13.5,2555.5,1222.0,4884.0,11.4,8.7,16.8,5.28,5.43,5.35,36.43,44098,44780,Loire-Atlantique,"Missillac, Loire-Atlantique, France",0.422,6.6
87,Moisdon-la-Rivière,1752,927,2715,1546,618,3091,11.2,8.2,18.3,8.7,5.2,11.7,1649.0,772.5,2903.0,9.95,6.7,15.0,7.67,6.75,7.24,30.11,44099,44520,Loire-Atlantique,"Moisdon-la-Rivière, Loire-Atlantique, France",0.313,0.2
88,Monnières,2836,2115,3666,2499,1055,3545,12.8,9.4,17.0,12.3,8.2,16.0,2667.5,1585.0,3605.5,12.55,8.8,16.5,5.42,5.91,5.65,50.78,44100,44690,Loire-Atlantique,"Monnières, Loire-Atlantique, France",0.43,7.43
89,La Montagne,3192,2067,3896,2803,1450,4509,14.4,11.6,21.1,15.2,10.7,21.5,2997.5,1758.5,4202.5,14.8,11.15,21.3,5.41,6.51,5.92,48.09,44101,44620,Loire-Atlantique,"La Montagne, Loire-Atlantique, France",0.44,4.96
90,Montbert,2421,1870,3239,2310,1007,3238,13.9,10.1,19.5,12.4,8.9,16.0,2365.5,1438.5,3238.5,13.15,9.5,17.75,6.89,6.44,6.67,39.96,44102,44140,Loire-Atlantique,"Montbert, Loire-Atlantique, France",0.445,8.04
91,Montoir-de-Bretagne,2571,1277,3331,2540,1092,3749,12.2,8.1,18.8,14.0,11.6,17.3,2555.5,1184.5,3540.0,13.1,9.85,18.05,5.69,6.61,6.15,26.39,44103,44550,Loire-Atlantique,"Montoir-de-Bretagne, Loire-Atlantique, France",0.439,2.97
92,Montrelais,1967,933,3420,1858,743,2552,11.5,8.5,17.0,11.4,8.9,16.4,1912.5,838.0,2986.0,11.45,8.7,16.7,7.02,7.36,7.18,34.89,44104,44370,Loire-Atlantique,"Montrelais, Loire-Atlantique, France",0.329,-1.86
93,Mouais,1739,1093,2726,1873,797,3106,10.9,7.2,17.2,10.1,6.8,13.7,1806.0,945.0,2916.0,10.5,7.0,15.45,7.52,6.47,6.98,30.08,44105,44590,Loire-Atlantique,"Mouais, Loire-Atlantique, France",0.23,-7.29
94,Les Moutiers-en-Retz,3824,2829,5186,3947,2006,6456,13.6,9.0,19.3,13.6,9.6,16.7,3885.5,2417.5,5821.0,13.6,9.3,18.0,4.27,4.13,4.2,39.14,44106,44760,Loire-Atlantique,"Les Moutiers-en-Retz, Loire-Atlantique, France",0.33,17.13
95,Mouzeil,2593,1358,4021,2024,810,3101,10.9,6.3,14.8,11.2,8.0,14.6,2308.5,1084.0,3561.0,11.05,7.15,14.7,5.04,6.64,5.74,35.58,44107,44850,Loire-Atlantique,"Mouzeil, Loire-Atlantique, France",0.407,6.94
96,Mouzillon,2518,1824,3336,2423,969,3867,12.7,8.7,21.0,12.7,8.8,16.8,2470.5,1396.5,3601.5,12.7,8.75,18.9,6.05,6.29,6.17,37.73,44108,44330,Loire-Atlantique,"Mouzillon, Loire-Atlantique, France",0.427,3.31
